,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scarping_date
189,Mainframes Developer,Cyient,3-7 Yrs,Not disclosed,Pune, Skills Experience,jcl,semiconductor mainframe production support technology agile methodology analytics aerospace advanced analytics,6 Days Ago,2023-03-07
190,Mainframe Developer - COBOL/CICS,GMT Infotech,3-8 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru"," Primary Skills : Mainframe - COBOL, CICS, ZOS, DB2, JCLResponsibilities : - Consults wi...",COBOL,software development dbms mainframes technical mainframe production support cics software,6 Days Ago,2023-03-07
191,Developer Mainframe,Luxoft,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Bachelors degree in computer science, engineering, or related field preferred. . 5+ yea...",jira,change vsam mainframes production support computer science cics consulting,14 Days Ago,2023-03-07
192,Mainframe PL 1 Developer,Capgemini,9-12 Yrs,Not disclosed,Chennai, . Must have skills are Mainframe PL1 CICS MQ DBLevel 2 Integration Methods Framework Ja...,Career development,Change management Interpersonal skills Performance management Business case application auditing software testing,4 Days Ago,2023-03-07
193,Mainframe Developer - COBOL/JCL,Cliqhr,4-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Roles and ResponsibilitiesJob description - Resource with good experience in working on...,DevOps,JCL DB2 cobol dbms mainframes mainframe production support development,11 Days Ago,2023-03-07
194,Cyient Ltd: Hiring For DB2 Mainframe and Mainframe Developer For Pune,Cyient,3-8 Yrs,Not disclosed,Pune, Experience: 3-7 Yrs. . Job Location: Pune. . Notice period: Immediate to 1 Month,Mainframes,ims cobol dbms mainframe db2 hiring jcl development,14 Days Ago,2023-03-07
195,Mainframe/NonStop Systems Administrator,Total System Services (TSYS),4-7 Yrs,Not disclosed,Pune, Minimum Qualifications : Bachelors Degree . Experience in system administration within ...,recovery,ispf computer jcl administration disaster recover migration computer science,1 Day Ago,2023-03-07
196,Mainframe Developer with Strong DB2,Tech Mahindra,4-9 Yrs,Not disclosed,"Hybrid - Bangalore/Bengaluru, Mumbai (All Areas)"," JD 1-Primary - Cobol, DB2, JCL, VSAM, SQLHighly Desired - Stored Procedures”",DB2,Cobol Mainframe CICS jcl dbms mainframes development,5 Days Ago,2023-03-07
197,Application Developer: Mainframe Modernization,IBM,3-7 Yrs,Not disclosed,Bangalore/Bengaluru," Solid exposure to CICS, and / or CICSplex and batch technology from technical developme...",RDBMS,Presales Application development SCM SDLC application development agile,1 Day Ago,2023-03-07
198,Mainframe Natural Adabas Developer,Tech Mahindra,3-8 Yrs,10-18 Lacs PA,"Hybrid - Bangalore/Bengaluru, Mumbai (All Areas)"," Minimum 3 years of Hands on experience in Mainframe Natural & Adabas (MUST), JCL, Cobol...",JCL,Cobol Mainframe Natural Adbas adabas development mainframes natural adabas,5 Days Ago,2023-03-07
199,Mainframe Developer - JCL/CICS/COBOL,Career Infosystem,3-8 Yrs,Not disclosed,"Kolkata, Pune, Chennai, Bangalore/Bengaluru"," Develop IBM Mainframe applications using JCL, COBOL, CICS, DB2 and SQL etc. . - Knowled...",JCL,Db2 Cics system testing integration testing system mainframes test case review,11 Days Ago,2023-03-07
200,Mainframe Developer,Akana Services,4-9 Yrs,6-14 Lacs PA,"Mysore/Mysuru, Pune"," Responsibilities -Production support, Enhancement and Maintenance, Interaction with oth...",mainframes,ibm debugger jcl file-aid file manager management ims topaz,3 Days Ago,2023-03-07
201,Middleware Admin,Burgeon It Services,5-10 Yrs,6-16 Lacs PA,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Experience in application server administration like JBOSS, Weblogic, Tomcat, Apache HT...",Apache,apache tomcat jboss splunk middleware application server approval process process,1 Day Ago,2023-03-07
202,Middleware Administrator,Capgemini,6-9 Yrs,Not disclosed,Bangalore/Bengaluru, Ready to work with rotational shiftsSecondary Skills . . . . Should be good in troubles...,Unix,Linux Server administration JBoss Apache administration middleware middleware administration,1 Day Ago,2023-03-07
203,Middleware admin IIB MQ,Burgeon It Services,4-9 Yrs,6-16 Lacs PA,"Kolkata, Hyderabad/Secunderabad, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Experience with installation, maintenance, and support of WebSphere MQ on distributed p...",iib,middleware creative thinking administration websphere mq process improvements creative websphere,1 Day Ago,2023-03-07
204,Middleware WebSphere Administrator,Clover Infotech,1-6 Yrs,4-6 Lacs PA,"Mumbai, Pune", Roles and Responsibilities Skill 1- Websphere Admin Experience- 3+ and Above Location- ...,WAS Administration,jboss administration websphere middleware,4 Days Ago,2023-03-07
205,Kony Middleware Administrator,Tech Mahindra,8-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Navi Mumbai, Chennai", Candidate should have been working as a Kony Middleware Administrator with good experie...,Kony,websphere linux administration middleware visual websphere application server application server,4 Days Ago,2023-03-07
206,Middleware Administrator,MRT Infotech,5-8 Yrs,8-14 Lacs PA,"Devanahalli, Bangalore/Bengaluru"," Experience : 4-8 Years, . . Work from Office, . . we are looking for Immediate Joiners",middleware,websphere shell scripting administration jboss apache tomcat redhat linux middleware administration,12 Days Ago,2023-03-07
207,Middleware Administrator,Oracle,6-11 Yrs,Not disclosed,"Hybrid - Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", OCI Certification Foundation / Architect / professional is added advantageWe ensures th...,Weblogic Administration,SOA middleware middleware administration weblogic oracle administration oracle cloud,25 Days Ago,2023-03-07
208,Middleware Administrator-DH,Infosys,3-6 Yrs,Not disclosed,Bangalore/Bengaluru, Bachelor of Engineering Good understanding of SDLC and agile methodologies,Middleware,performance performance engineering sdlc agile engineering WAS,5 Days Ago,2023-03-07
209,Middleware Administrator - Websphere/weblogic,Career Infosystem,5-8 Yrs,Not disclosed,Greater Noida, Job Description : Middleware Administrator - Websphere/Weblogic/IIS - Strong hands on e...,Tomcat,MQ JBOSS application application server apache tomcat itil middleware,11 Days Ago,2023-03-07
210,Middleware Administrator,Fusion Plus Solutions Inc,3-6 Yrs,Not disclosed,Hyderabad/Secunderabad, Maintenance of Tomcat and IIS servers that host EAS applications Managing a cluster of ...,management,application administration troubleshooting monitoring change management ssl iis,6 Days Ago,2023-03-07
211,"Oracle Middleware Administrator
",NetConnect Global,5-10 Yrs,Not disclosed,"Navi Mumbai, Delhi / NCR", Location: Navi Mumbai / DelhiExperience: 5-10 YearsMode: Work from Office Notice Period...,oracle enterprise manager,weblogic server oracle 13c patching middleware server enterprise administration,4 Days Ago,2023-03-07
212,Middleware Weblogic/WCI Administrator,Miratech,5-7 Yrs,Not disclosed,Permanent Remote, Must have good Linux Administration skillsExperience in installing using automation thr...,weblogic administration,database administration administration automation dbms middleware weblogic python,4 Days Ago,2023-03-07
213,Middleware WebSphere Administrator,Clover Infotech,2-10 Yrs,Not disclosed,"Mumbai, Pune"," Responsibilities : Apart from L1 activities, L2 will help L1 in any of the activities. ...",apache,san administration websphere administration troubleshooting ssl jms websphere,30+ Days Ago,2023-03-07
214,Middleware Messaging Engineer,Fusion Plus Solutions Inc,3-6 Yrs,Not disclosed,Hyderabad/Secunderabad," Design, build and support Enterprise large scale distributed Messaging platforms ( Acti...",operational support,messaging middleware application development cloud operations activemq development,2 Days Ago,2023-03-07
215,Middleware Engineer,Fusion Plus Solutions Inc,8-9 Yrs,Not disclosed,Hyderabad/Secunderabad, . . . . . . . 8+ years of expert knowledge and working experience supporting the infras...,computer,http computer science troubleshooting jsp middleware xml science,2 Days Ago,2023-03-07
216,Oracle Middleware Administrator,Net Connect,7-10 Yrs,Not disclosed,New Delhi, Oracle WebLogic / SOA / OCI Certification - Preferred . Educational Qualification: . . ...,oracle idm,administration soa weblogic troubleshooting middleware performance tuning performance,10 Days Ago,2023-03-07
217,Oracle Middleware Administrator,Net Connect,7-10 Yrs,10-20 Lacs PA,"Delhi / NCR, Mumbai (All Areas)", Location: Mumbai / Delhi/NCR Experience: 7-10 Years Mode: Work from Office Salary: - 10...,kubernetes,oracle enterprise manager oem middleware docker management server weblogic server,11 Days Ago,2023-03-07
218,Middleware Engineer,BNP Paribas,5-7 Yrs,Not disclosed,Chennai," Basic Experience in DB Administration (Oracle, MS SQL, Mongo DB) Bachelor s Degree in c...",scheduling,wealth management management monitoring financial services production engineering production engineering,6 Days Ago,2023-03-07
219,Middleware Administrator,GSR Business Services,6-10 Yrs,10-20 Lacs PA,"Chennai, Bangalore/Bengaluru", Experience with at least three projects performing end to end Infrastructure role with ...,Ibm Bpm,websphere administration websphere portal server openshift middleware business process management middleware administration,26 Days Ago,2023-03-07
220,Middleware MQ Admin,Varite,5-9 Yrs,Not disclosed,Bangalore/Bengaluru, Implement Client MQ-Unix; Implement Client MQ-Windows; Implement Client Integration Bus...,unix,websphere mq webmethods middleware microsoft windows administration MQ Administrator,17 Days Ago,2023-03-07
221,EDP officer | Urgently Required | Golibar Maidan|| Pune,RMW India Services,0-4 Yrs,3-4.5 Lacs PA,"Nagpur, Pune, golibar maidan", Analyzing data and make reports as per requirement Providing accurate and timely inform...,MS Office,corel draw vba vlookup ms access data management operations data entry operation,1 Day Ago,2023-03-07
222,EDP officer | Urgently Required | Manchar || PUNE,Parth Associates,0-5 Yrs,3-4 Lacs PA,"Pune, Mumbai (All Areas), Manchar", Analyzing data and make reports as per requirement Providing accurate and timely inform...,Data Management,MS Office excel advanced excel data processing hlookup microsoft process,1 Day Ago,2023-03-07
223,EDP officer | DTP operator | Aakash Institute | Navi Mumbai,RMW India Services,0-4 Yrs,3-4.5 Lacs PA,"Navi Mumbai, ghatkopar, Andheri", Analyzing data and make reports as per requirement Providing accurate and timely inform...,MS Office,data management data entry vba draw operating data maintenance dtp operating,1 Day Ago,2023-03-07
224,EDP officer | Urgently Required | majuragate|| surat,Aakash Institute,0-4 Yrs,3-4.5 Lacs PA,"Navi Mumbai, Surat, majuragate", Analyzing data and make reports as per requirement Providing accurate and timely inform...,MS Office,corel draw vba vlookup ms access data management operations data entry operation,9 Days Ago,2023-03-07
225,Deputy Manager -EDP,J Mitra And Co,12-20 Yrs,7-8 Lacs PA,New Delhi(Okhla)," To determine, establish, scheduling, implementation of the training requirement of the ...",servers,Networking Computer Hardware Oracle ERP Firewall management software computer,4 Days Ago,2023-03-07
226,EDP officer | Urgently Required | Bhavnagar,RMW India Services,0-4 Yrs,3-4.5 Lacs PA,"Bharuch, Bhavnagar, Surat", Analyzing data and make reports as per requirement Providing accurate and timely inform...,MS Office,corel draw vba vlookup ms access data management operations data entry operation,4 Days Ago,2023-03-07
227,EDP Officer,Aakash Educational Services (AESL),2-4 Yrs,2-3.5 Lacs PA,"Kochi/Cochin, Hyderabad/Secunderabad, Nellore"," Must have any Bachelors degree. Assist Branch Head, ABMs, Regional leadership with requ...",edp,advance excel dtp operator mis advanced excel excel data dtp,11 Days Ago,2023-03-07
228,EDP officer | Urgently Required | varaccha|| Surat,RMW India Services,0-4 Yrs,3-4.5 Lacs PA,"Bharuch, Surat, varaccha", Analyzing data and make reports as per requirement Providing accurate and timely inform...,MS Office,photoshop hlookup operations advanced excel vlookup management data management,9 Days Ago,2023-03-07
229,EDP officer | Urgently Required | Manjalpur || Vadodara,RMW India Services,0-4 Yrs,3-4.5 Lacs PA,"Bharuch, Surat, Vadodara", Analyzing data and make reports as per requirement Providing accurate and timely inform...,MS Office,photoshop hlookup operations advanced excel vlookup management data management,1 Day Ago,2023-03-07
230,EDP officer | Urgently Required | Gandhinagar(Gujarat),RMW India Services,0-4 Yrs,3-4 Lacs PA,"Gandhinagar, Navsari, Surat", Analyzing data and make reports as per requirement Providing accurate and timely inform...,EDP Management,Report Preparation Advanced Excel Data Operations HLOOKUP corel draw vba vlookup,5 Days Ago,2023-03-07
231,Opening For EDP Assistant at Ahmedabad Location,Multi Mantech International,2-5 Yrs,2.75-4 Lacs PA,Ahmedabad, Candidate should have experience in managing the Hardware components,server,assistance server installation firewall installation edp serv Firewall protection,11 Days Ago,2023-03-07
232,EDP Operator,WSD Consultant,0-15 Yrs,Not disclosed,"Noida, Gurgaon", Controls the paper making software and prepares all printing materials. Controls other ...,accessories,management operations preventive maintenance database management system counselling printing preventive,30+ Days Ago,2023-03-07
233,EDP - EXECUTIVE,Saphire Honda,1-6 Yrs,Not disclosed,Bengaluru, EDP-EXECUTIVE Job Description - Training new staff existing on the entire process produ...,executive training,edp dbms puc training product training Training Executive Executive EDP,30+ Days Ago,2023-03-07
234,ERP/EDP Executives,Singapore International School,2-4 Yrs,Not disclosed,Mumbai, ERP/ EDP Executives,desk,telephony erp relationship helpdesk telephony support customer relationship customer service,30+ Days Ago,2023-03-07
235,EDP Incharge,Mycitypune,3-4 Yrs,Not disclosed,Pune, Candidate should have experience in the same field for 3- 4 years. Salary : No bar for ...,sql,oracle operating systems real time pcr html languages time real time operating system,30+ Days Ago,2023-03-07
236,EDP Officer,Aakash Educational Services (AESL),1-6 Yrs,2-3.5 Lacs PA,"Guntur, Kolar, Mangaluru/Mangalore", Job Title: EDP OfficerDivision/Department: Branch Operations Reports To: Assistant Bran...,DTP,computer vba microsoft operating ms office office computer operating,18 Days Ago,2023-03-07
237,Hiring For EDP Officer,Aakash Educational Services (AESL),1-3 Yrs,2.5-3.5 Lacs PA,"New Delhi, Bulandshahr, Faridabad"," Also ensure, adherence to processes and operational compliance for managing the databas...",advanced excel,Macros pivot edp coral microsoft formatting hlookup,25 Days Ago,2023-03-07
238,EDP officer ( DTP Operator ) | Aakash Institute | Varachha,Parth Associates,0-5 Yrs,2-4 Lacs PA,"Bhavnagar, Navsari, Surat", Analyzing data and make reports as per requirement Providing accurate and timely inform...,EDP,VLOOKUP Corel Draw Advanced Excel MS Office process operating institute,4 Days Ago,2023-03-07
239,Urgent hiring| EDP officer/DTP Operator| Mumbai-Maharashtra,Parth Associates,0-5 Yrs,2-4 Lacs PA,"Kalyan/Dombivli, Ghatkopar, Andheri", Analyzing data and make reports as per requirement Providing accurate and timely inform...,EDP,VLOOKUP Corel Draw Advanced Excel MS Office process operating processing,21 Days Ago,2023-03-07
240,Assistant Manager - EDP,SPM Jobs,3-5 Yrs,Not disclosed,Erode, Experience In software developments with SQL Crystal reporting formats Possessing Texti...,assistance,crystal report computer science spm edp .net sap crystal,30+ Days Ago,2023-03-07
241,"Software Trainee, Software Developer, Software Tester",Quickxpert Infotech,0-4 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Our Client MarriageOnix is looking for Software Engineers in multiple technologies. Int...,c++,software testing HTML SQL java training css development,2 Days Ago,2023-03-07
242,Fresher Hiring II Software Support Engineer II Capgemini Mumbai,Evision Technoserve,0-0 Yrs,2.5-3.5 Lacs PA,"Pune, Bangalore/Bengaluru, Kerala", Fresher Software Support Engineer Evision Technoserve (ISO 9001-2015) Fresher HiringAny...,Network Engineering,Civil Engineering Mechanical Engineering Electrical Engineering puc software support software engineering mechanical,26 Days Ago,2023-03-07
243,"Software Testing Trainee, Software Tester, Software Test Engineer",Quickxpert Infotech,0-5 Yrs,Not disclosed,"Thane, Pune, Mumbai (All Areas)", Our client MarriageOnix is looking for Software Tester. Interested candidates can apply...,Software Testing,manual testing computer computer science electronics electronics engineering ms-cit engineering,5 Days Ago,2023-03-07
244,"Fresher Hiring Software Support Engineer
 II Infosys",Evision Technoserve,0-0 Yrs,2.5-3.5 Lacs PA,"Osmanabad, Bhandara, Parbhani, Pune, Nanded, Jalna, Latur, Hingoli, Mumbai (All Areas)", Fresher Hiring I Software Support Engineer Evision Technoserve (ISO 9001-2015) Hiring F...,Network Engineering,Civil Engineering Mechanical Engineering Electrical Engineering rf cse java telecommunication,12 Days Ago,2023-03-07
245,Embedded Software Engineer,Accel Systems,0-4 Yrs,Not disclosed,Pune," Embedded Software Engineer Requirements Strong in C/ C++ programming, Strong object- or...",gprs,usb spi object embedded systems oops telecommunication embedded software,30+ Days Ago,2023-03-07
246,Software Developer Automation,THERMAX,0-4 Yrs,Not disclosed,Pune, Customization of CAD Packages using Application Programming interface API. . Proficient...,VB.Net,VBA 3D Modeling software development cad solid works modeling automation,1 Day Ago,2023-03-07
247,IT / Software Engineer Trainee,Club Mahindra,0-0 Yrs,Not disclosed,"Pune, Chennai"," Should have demonstrable working experience (College projects, internship, passion proj...",MVC,training software development web technologies web development software capacity development,2 Days Ago,2023-03-07
248,Junior Software Engineer,Parallelstack Sytems,0-2 Yrs,Not disclosed,Pune, Excellent verbal and written communication skills are required . .,operations,coding operating systems multithreading ip wireless recruitment telecom,30+ Days Ago,2023-03-07
249,Fresher Software Support Engineer For Tech Mahindra,Evision Technoserve,0-0 Yrs,2.5-3.5 Lacs PA,"Mumbai, Nagpur, Pune", Fresher Software Support Engineer Evision Technoserve (ISO 9001-2015) Fresher Hiring An...,Network Engineering,Civil Engineering Mechanical Engineering Electrical Engineering rf engineering ece web technologies engineering,24 Days Ago,2023-03-07
250,Fresher Hiring II Software Support Engineer II Capgemini Pune,Evision Technoserve,0-0 Yrs,2.5-3.5 Lacs PA,"Nasik/Nashik, Pune, Mumbai (All Areas)", Fresher Software Engineer Evision Technoserve (ISO 9001-2015) Fresher Hiring Any Gradua...,Network Engineering,Civil Engineering Mechanical Engineering Electrical Engineering cse electricals software development production engineering,26 Days Ago,2023-03-07
251,Fresher Hiring II Software Support Engineer II Capgemini Mumbai,Evision Technoserve,0-0 Yrs,2.5-3.5 Lacs PA,"Nagpur, Pune, Mumbai (All Areas)", Fresher Software Support Engineer Evision Technoserve (ISO 9001-2015) Fresher Hiring An...,Network Engineering,Civil Engineering Mechanical Engineering Electrical Engineering rf engineering ece web technologies electronics,26 Days Ago,2023-03-07
252,Trainee Software Engineer - Security Tools (Guardium and compliance),Hsbc,0-2 Yrs,Not disclosed,Hybrid - Pune," In this role, you will:Work in 24 x7 Production support team (Shifts are Morning /Noon ...",Guardium compliance,monitoring tools Security tools tools guardium security compliance training,20 Days Ago,2023-03-07
253,JUNIOR SOFTWARE DEVELOPER,Godigi Infotech,0-2 Yrs,Not disclosed,Pune, Education in BE / B.tech / BCA / BCS / Passing year Good Communication SkillKeyskills ....,php,python asp.net software development software development,30+ Days Ago,2023-03-07
254,"QA Testing Engineer,software testengineer",Laxmi Infotech,0-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"," Good Knowledge in both Manual Testing and Automation Testing, Strong experience in writ...",Manual Testing,Software tester Functional Testing QA Testing Automation Testing functional defect reporting quality assurance,29 Days Ago,2023-03-07
255,Software Engineer (Test Automation),Telstra,3-7 Yrs,Not disclosed,Pune," Good to have exposure to telecom domainTo be successful in the role, you must have: . ....",system integration,web services testing recruitment continuous integration automation testing functional testing software testing web services,30+ Days Ago,2023-03-07
256,SOFTWARE TESTER - FRESHER,Godigi Infotech,0-1 Yrs,Not disclosed,Pune," Candidate should have basic knowledge of Software Testing, Manual and Automation Testin...",automation,software manual testing manual automation testing software testing,30+ Days Ago,2023-03-07
257,Software Test Engineer,Smart Placement Services,0-3 Yrs,5-8 Lacs PA,"Mumbai, Pune, Bangalore/Bengaluru", Post-Software testing engineer. Skills-Python with selenium only Experience in front ap...,Selenium Testing,Python Testing Automation Testing automation software testing python software selenium,5 Days Ago,2023-03-07
258,"Fresher Hiring Trainee Engineer ME,EEE, Civil and ECE | Tech Mahindra",Evision Technoserve,0-0 Yrs,2.5-3.5 Lacs PA,"Kheda, Mehsana, Bhuj, Navsari, Kutch/kachchh, Narmada, Pune, Ahmedabad, Junagarh", Fresher Hiring II Trainee Engineer Evision Technoserve (ISO 9001-2015) Hiring Fresher A...,Network Engineering,Civil Engineering Mechanical Engineering Electrical Engineering training rf cse java,2 Days Ago,2023-03-07
259,"Fresher Hiring Trainee Engineer ME,EEE, Civil and ECE | IBM",Evision Technoserve,0-0 Yrs,2.5-3.5 Lacs PA,"Gandhinagar, Khambhalia, Chhota Udaipur, Dahod, Pune, Veraval, Jamnagar, Ahmedabad, Junagarh", Fresher Hiring II Trainee Engineer Evision Technoserve (ISO 9001-2015) Hiring Fresher A...,Network Engineering,Civil Engineering Mechanical Engineering Electrical Engineering software testing rf engineering training ece,2 Days Ago,2023-03-07
260,"Fresher Trainee Engineer ME,EEE, Civil and ECE | Mahindra And Mahindra",Evision Technoserve,0-0 Yrs,2.5-3.5 Lacs PA,"Sindhudurg, Thane, Pune, Washim, Satara, Wardha, Yavatmal/Yeotmal, Solapur, Mumbai (All Areas)", Fresher Hiring Trainee Engineer Evision Technoserve (ISO 9001-2015) Hiring Fresher Any ...,Network Engineering,Civil Engineering Mechanical Engineering Electrical Engineering software testing rf engineering training ece,2 Days Ago,2023-03-07
261,Network Operations Associate-Telecom Operations,Accenture,1-3 Yrs,Not disclosed,Bangalore/Bengaluru, Please note that this role may require you to work in rotational shifts Qualifications:...,Order management,Telecom Network operations Customer service PUC management networking operations,1 Day Ago,2023-03-07
262,Wireman Technician - Telecom - Freshers & Diploma,TeamLease,0-5 Yrs,1-2.25 Lacs PA,"Madurai, Chennai, Coimbatore", Roles and Responsibilities,telecom,wiring Technician wireman,13 Days Ago,2023-03-07
263,Telecom Engineer,Seven Consultancy (HR Solution),0-4 Yrs,Not disclosed,Salem, JOB DETAILS Design install & troubleshoot the telecommunication systems. Work with the ...,hardware networking,management telecommunication hardware consultancy manpower troubleshooting recruitment,30+ Days Ago,2023-03-07
264,TELECOM ENGINEER,Foundation Manpower Management,0-4 Yrs,Not disclosed,Kolkata," Job Responsibility : 1. Design, install & troubleshoot the telecommunication systems. 2...",manpower management,hardware networking management networking telecom engineering transmission c telecom,30+ Days Ago,2023-03-07
265,Responsibility Matrix - Engineer DT,Telecom Network Solutions (TNS),0-2 Yrs,Not disclosed,other location," 0 Scope : To make the report as per customer requirement Should have knowledge of GSM, ...",emf survey,radio gsm 4g emf lte telecom survey,30+ Days Ago,2023-03-07
266,Network Operations Analyst-Telecom Operations,Accenture,3-5 Yrs,Not disclosed,Mumbai, Please note that this role may require you to work in rotational shifts Skill required:...,Telecom,Billing Consulting Customer service Monitoring management network operations networking,14 Days Ago,2023-03-07
267,Field Support Engineer (Telecom) - Karnataka,Indus Towers,2-7 Yrs,3.5-5 Lacs PA,Anywhere in Karnataka," Degree (Mechanical, Electrical) - will be preferred for new hires Candidate should have...",passive infrastructure,management team management electricals engineering telecom field engineering engineering support,3 Days Ago,2023-03-07
268,Telecom Engineer,Manpowergroup Services India,2-3 Yrs,2.5-3.75 Lacs PA,Bangalore/Bengaluru," Education: BE / Btech (EE / ETC/EEE), BTech Graduate before Bike is MUST with valid DLR...",UBR,Battery SMPS WiFi maintenance of small cell small cell cell telecom,6 Days Ago,2023-03-07
269,Senior Engineer - Telecom,Ramboll,10-12 Yrs,Not disclosed,Chennai, Responsibilities & tasksPrimary Tasks1. Experience in Engineering solutions in differen...,engineering,microsoft 3d modeling lan telecom modeling excel senior,12 Days Ago,2023-03-07
270,Telecom Engineer,GBS Wireless India,3-8 Yrs,"80,000-1.5 Lacs PA","Saudi Arabia, United States (USA)", Valid Passport. . Good Experience in Nokia Or Ericsson Equipment. . .,BTS Installation,BTS Commissioning Nokia BTS Ericsson BTS monitoring operating systems compensation installation,7 Days Ago,2023-03-07
271,Engineer - Telecoms UK Rail,WSP,6-9 Yrs,Not disclosed,Bangalore/Bengaluru, As a Telecommunications Engineer you will be responsible for development Telecommunicat...,lan,uk telecom engineering rail microstation radio cctv,7 Days Ago,2023-03-07
272,Field Support Engineer (Telecom) - Tamil Nadu,Indus Towers,2-7 Yrs,3.5-5 Lacs PA,"Hosur, Salem, Tirunelveli, Chennai, Coimbatore, Ramanathapuram, Kanchipuram, Villupuram/Viluppuram", Candidate should have mandatory two wheeler and driving licenseRelevant Experience: 2 p...,Operations,management team management tamil engineering telecom field engineering field,10 Days Ago,2023-03-07
273,Senior Telecom Engineer,Centillion Networks,5-10 Yrs,Not disclosed,Hyderabad/Secunderabad, Experience: 5 -10 years experience with Telecom System Integration Companies. . Qualifi...,Pabx,Tetra/UHF/VHF Access Control PAGA Radio System microwave telecom cctv,12 Days Ago,2023-03-07
274,Telecom Engineer,Azurreo Sas,0-19 Yrs,Not disclosed,Not specified," As part of our development, we are currently seeking: Telecom Engineer. Primary Respons...",troubleshooting,technology lan vpn telecom information technology system servicing,30+ Days Ago,2023-03-07
275,Telecom Engineer (Wireless SAED),Moldtek Technologies,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad, Experience : 2 to 5 Years. . Salary : Best in Industry.,AutoCAD,wireless draft telecom engineering drafting telecom ran,10 Days Ago,2023-03-07
276,Telecom Project Manager,Freshermart,5-10 Yrs,Not disclosed,"Visakhapatnam, Bangalore/Bengaluru", Experience working with Remote Integration support and War room support preferredEssent...,Project Management,management project lte program networking telecom project management program management,6 Days Ago,2023-03-07
277,U.S. Telecom Process (Voice) @Pune :Salary 30K in hand,KVC Consultants,1-6 Yrs,3.75-4.25 Lacs PA,Pune, Working days -5 (Rotational Shifts) Graduates Good Verbal --- communication skills in E...,Telecom,BPO BBA Customer Service AMAZON Email NIGHT SHIFTS Telesales,30+ Days Ago,2023-03-07
278,U.S. Telecom Process (Voice) @Pune :Salary 30K in hand,KVC Consultants,1-6 Yrs,3.75-4.25 Lacs PA,Pune, Working days -5 (Rotational Shifts) Graduates Good Verbal --- communication skills in E...,Telecom,BPO BBA Customer Service AMAZON TELEPERFORMANCE Email NIGHT SHIFTS,30+ Days Ago,2023-03-07
279,Sr Telecom Engineer,Seven Consultancy (HR Solution),3-4 Yrs,Not disclosed,Ahmedabad, 1) Create and maintain all necessary technical documentation. Ensure all work activity ...,change,disaster recovery handling recruitment change management sr engineering programming,30+ Days Ago,2023-03-07
280,Lead Telecom Engineer,Madhees,5-10 Yrs,Not disclosed,Hyderabad, We are looking for Lead Telecom engineer role with 5-10 Years of relevant work experien...,Automation,Networking Process improvement Billing VOIP Telecommunication SIP microsoft,30+ Days Ago,2023-03-07
281,Pharma Medical Representative For Ahmedabad,Kurocent Healthcare Pvt Ltd,0-2 Yrs,1.5-2.5 Lacs PA,Ahmedabad, We are looking for passionate & highly motivated candidates with skills for pharma sale...,Medical Rep,Business Development Pharma Marketing Marketing medical management pharmaceutical sales pharmaceutical,6 Days Ago,2023-03-07
282,Medical Representative- Pune (PCMC) For reputed pharma company,The Way Consultant,2-7 Yrs,3-4.5 Lacs PA,"Pimpri-Chinchwad, Pune(Bhusari Colony)", Minimum 6 Months and above experiences in Pharmaceuticals sales. . .,Medical Sales,Medical representative Pharma sales Pharma Marketing Pharmaceutical Sales pharma selling pharmaceutical sales,5 Days Ago,2023-03-07
283,JOB| PHARMA SALES - BHARUCH  - MEDICAL REPRESENTATIVE,Vardhman Consultancy Services,0-1 Yrs,Not disclosed,"Bharuch, Lucknow, Ahmedabad, Vellore, Raipur", Candidate will be responsible to promote pharmaceutical products to doctors. To achieve...,pharma selling,selling management marketing sales pharmaceutical sales medical pharmaceutical,30+ Days Ago,2023-03-07
284,Medical Sales Representative - Pharma,Reinforcement Consultants,1-4 Yrs,Not disclosed,Pune, Secure and grow existing buy and bill accounts to meet business goals while developing ...,medical sales,selling management pharma selling rheumatology interpersonal skills healthcare medical,30+ Days Ago,2023-03-07
